Date ,Time ,Open ,High,Low ,Close ,Volume
2021.09.16,4:00,0.85332,0.85387,0.85332,0.8535,4944
2021.09.16,8:00,0.8535,0.85384,0.85154,0.85156,14519
2021.09.16,12:00,0.85156,0.85224,0.84995,0.85125,17886
2021.09.16,16:00,0.85125,0.85461,0.85124,0.8531,19544
2021.09.16,20:00,0.85309,0.85332,0.85215,0.85274,11556
2021.09.17,0:00,0.85274,0.85305,0.85236,0.85297,4397
2021.09.17,4:00,0.85297,0.85319,0.85256,0.85258,6587
2021.09.17,8:00,0.85258,0.85392,0.85211,0.85358,12851
2021.09.17,12:00,0.85359,0.85515,0.8531,0.85315,14358
2021.09.17,16:00,0.85316,0.85404,0.8524,0.85285,21181
2021.09.17,20:00,0.85285,0.85398,0.85269,0.85389,9848
2021.09.20,0:00,0.85333,0.85434,0.85288,0.854,4469
2021.09.20,4:00,0.85401,0.85479,0.85394,0.85468,7223
2021.09.20,8:00,0.85468,0.85691,0.85415,0.85617,15880
2021.09.20,12:00,0.85616,0.85776,0.85501,0.85677,17310
2021.09.20,16:00,0.85677,0.8593,0.85602,0.85907,21366
2021.09.20,20:00,0.85905,0.85929,0.85819,0.85836,12348
2021.09.21,0:00,0.85776,0.8588,0.85754,0.85864,4820
2021.09.21,4:00,0.85863,0.85877,0.85774,0.85779,7426
2021.09.21,8:00,0.8578,0.85849,0.85619,0.85728,15474
2021.09.21,12:00,0.85728,0.85885,0.85682,0.85871,16417
2021.09.21,16:00,0.85871,0.85936,0.85776,0.85835,23966
2021.09.21,20:00,0.85835,0.85861,0.8576,0.85802,13384
2021.09.22,0:00,0.85792,0.85841,0.85759,0.85799,3680
2021.09.22,4:00,0.85798,0.85866,0.85723,0.85845,11196
2021.09.22,8:00,0.85845,0.86028,0.85816,0.86021,15128
2021.09.22,12:00,0.86021,0.86118,0.85936,0.86063,13824
2021.09.22,16:00,0.86062,0.86102,0.85865,0.85941,17987
2021.09.22,20:00,0.8594,0.85958,0.85775,0.85807,28628
2021.09.23,0:00,0.85765,0.85845,0.85765,0.85823,4858
2021.09.23,4:00,0.85823,0.85859,0.85785,0.85794,7697
2021.09.23,8:00,0.85793,0.85886,0.85744,0.85819,17311
2021.09.23,12:00,0.85818,0.85821,0.85384,0.85444,25059
2021.09.23,16:00,0.85449,0.85558,0.85352,0.85432,20901
2021.09.23,20:00,0.85432,0.85553,0.85424,0.8553,11748
2021.09.24,0:00,0.85529,0.85555,0.85471,0.85503,4564
