Date  ,Time,Open,High,Low,Close,Volume
2018.10.22,0:00,1.3091,1.31161,1.3091,1.31081,11595
2018.10.22,4:00,1.31081,1.31132,1.30881,1.30952,13234
2018.10.22,8:00,1.30951,1.30954,1.30794,1.30834,16821
2018.10.22,12:00,1.30835,1.31026,1.30787,1.30985,17642
2018.10.22,16:00,1.30985,1.31254,1.3091,1.31159,22223
2018.10.22,20:00,1.31161,1.31168,1.30923,1.30995,11557
2018.10.23,0:00,1.30995,1.31071,1.30902,1.31008,7938
2018.10.23,4:00,1.31007,1.31014,1.30872,1.30968,8412
2018.10.23,8:00,1.30971,1.31138,1.30817,1.30952,20018
2018.10.23,12:00,1.30955,1.31141,1.30952,1.31117,18132
2018.10.23,16:00,1.31118,1.31215,1.30857,1.30902,25391
2018.10.23,20:00,1.30901,1.31024,1.30752,1.3083,16099
2018.10.24,0:00,1.30816,1.30872,1.30753,1.30796,4032
2018.10.24,4:00,1.30795,1.30868,1.30688,1.30751,7402
2018.10.24,8:00,1.30752,1.30983,1.30737,1.30975,15935
2018.10.24,12:00,1.30976,1.30995,1.308,1.30954,15200
2018.10.24,16:00,1.30954,1.30965,1.29681,1.29893,31882
2018.10.24,20:00,1.29893,1.30573,1.29881,1.30544,21018
2018.10.25,0:00,1.30546,1.30564,1.30242,1.30293,8843
2018.10.25,4:00,1.30292,1.30307,1.30148,1.30192,9472
2018.10.25,8:00,1.30193,1.30376,1.30151,1.30278,17939
2018.10.25,12:00,1.30277,1.30685,1.30143,1.30584,19859
2018.10.25,16:00,1.30583,1.30976,1.30534,1.30808,28616
2018.10.25,20:00,1.30809,1.30856,1.30645,1.30711,15007
2018.10.26,0:00,1.30711,1.30878,1.30664,1.30875,3967
2018.10.26,4:00,1.30877,1.3115,1.30852,1.31076,10255
2018.10.26,8:00,1.31077,1.31434,1.31029,1.31363,15589
2018.10.26,12:00,1.31364,1.31526,1.31298,1.31471,17228
2018.10.26,16:00,1.3147,1.31584,1.30677,1.30847,24418
2018.10.26,20:00,1.30842,1.31039,1.30705,1.31,14459
2018.10.29,0:00,1.30951,1.3107,1.30892,1.31026,7693
2018.10.29,4:00,1.31028,1.31094,1.30962,1.31072,8420
2018.10.29,8:00,1.31071,1.3114,1.30914,1.30926,12946
2018.10.29,12:00,1.30925,1.3117,1.30816,1.31161,18618
2018.10.29,16:00,1.31161,1.31327,1.31044,1.31199,23342
2018.10.29,20:00,1.31199,1.31483,1.31176,1.31287,14857
2018.10.30,0:00,1.31289,1.31333,1.31115,1.31168,13759
2018.10.30,4:00,1.31168,1.31195,1.31004,1.31163,9724
2018.10.30,8:00,1.31164,1.31241,1.30997,1.31238,14925
