Date,Time,Open,High,Low,Close,Volume
2017.08.03,16:00,1.25911,1.26029,1.2552,1.25658,32370
2017.08.03,20:00,1.2566,1.25901,1.25628,1.25816,21837
2017.08.04,0:00,1.25816,1.2583,1.25587,1.25675,13998
2017.08.04,4:00,1.25675,1.25822,1.25634,1.25697,16382
2017.08.04,8:00,1.25696,1.25769,1.25554,1.257,16013
2017.08.04,12:00,1.25703,1.26373,1.25575,1.26301,21580
2017.08.04,16:00,1.26301,1.26668,1.26033,1.26572,34502
2017.08.04,20:00,1.26571,1.26613,1.26385,1.26433,18163
2017.08.07,0:00,1.26569,1.26569,1.26286,1.2634,48734
2017.08.07,4:00,1.2634,1.26417,1.26286,1.26382,17075
2017.08.07,8:00,1.26385,1.26794,1.26381,1.26758,17653
2017.08.07,12:00,1.26757,1.26999,1.26715,1.2699,19747
2017.08.07,16:00,1.2699,1.27136,1.26717,1.26793,23509
2017.08.07,20:00,1.26794,1.26853,1.26743,1.2676,10797
2017.08.08,0:00,1.26758,1.26808,1.26627,1.26669,14788
2017.08.08,4:00,1.26669,1.26714,1.26526,1.26645,11400
2017.08.08,8:00,1.26645,1.26703,1.26554,1.26656,13776
2017.08.08,12:00,1.26658,1.2689,1.26503,1.26775,21111
2017.08.08,16:00,1.26779,1.27041,1.2654,1.26751,32742
2017.08.08,20:00,1.2675,1.26778,1.26555,1.26646,20133
2017.08.09,0:00,1.26644,1.26958,1.26619,1.26935,15843
2017.08.09,4:00,1.26934,1.26979,1.26816,1.26868,18231
2017.08.09,8:00,1.26869,1.26947,1.26727,1.26745,20445
2017.08.09,12:00,1.26745,1.27075,1.26675,1.26947,21953
2017.08.09,16:00,1.26952,1.27207,1.26886,1.27022,35561
2017.08.09,20:00,1.27023,1.27078,1.26938,1.26957,17611
2017.08.10,0:00,1.26957,1.27018,1.26914,1.26939,33165
2017.08.10,4:00,1.26938,1.27178,1.26909,1.27158,15601
2017.08.10,8:00,1.27156,1.2734,1.27124,1.27233,21918
2017.08.10,12:00,1.27234,1.27322,1.26728,1.26735,26103
2017.08.10,16:00,1.26733,1.27283,1.26721,1.27195,46519
2017.08.10,20:00,1.27194,1.27448,1.27105,1.27436,26816
2017.08.11,0:00,1.27428,1.27457,1.27301,1.27373,31380
2017.08.11,4:00,1.2737,1.27524,1.27331,1.27415,14254
2017.08.11,8:00,1.27417,1.27446,1.27218,1.2724,16449
2017.08.11,12:00,1.2724,1.2738,1.26521,1.26818,25183
2017.08.11,16:00,1.26821,1.27135,1.26717,1.26844,32776
2017.08.11,20:00,1.2684,1.26856,1.26606,1.26737,22331
2017.08.14,0:00,1.26687,1.26853,1.26646,1.26792,20791
