Date,Time,Open,High,Low,Close,Volume
2018.10.11,0:00,1193.99,1195.05,1192.93,1193.07,16075
2018.10.11,4:00,1193.1,1193.96,1191.2,1192.97,37819
2018.10.11,8:00,1193,1198.41,1191.75,1198.07,43702
2018.10.11,12:00,1198.06,1210.37,1197.52,1208.51,62956
2018.10.11,16:00,1208.42,1220.7,1205.03,1219.7,114237
2018.10.11,20:00,1219.7,1226.3,1219.59,1223.76,67557
2018.10.12,0:00,1223.98,1224.05,1220.04,1220.9,15795
2018.10.12,4:00,1220.89,1222.07,1217.57,1219.69,28961
2018.10.12,8:00,1219.69,1221.26,1215.76,1217.91,38451
2018.10.12,12:00,1217.92,1223.7,1217.9,1218.87,43158
2018.10.12,16:00,1218.88,1222.81,1216.24,1219.8,62882
2018.10.12,20:00,1219.8,1220.39,1217.2,1217.43,31508
2018.10.15,0:00,1217.46,1221.56,1216.9,1220.86,16868
2018.10.15,4:00,1220.87,1222.32,1220.26,1221.97,21508
2018.10.15,8:00,1221.97,1230.45,1221.2,1230.35,36978
2018.10.15,12:00,1230.35,1233.19,1228.54,1230.6,42052
2018.10.15,16:00,1230.49,1231.34,1224.12,1226.88,59077
2018.10.15,20:00,1226.87,1227.31,1224.85,1226.83,26119
2018.10.16,0:00,1226.65,1228.44,1226.42,1228.13,3774
2018.10.16,4:00,1228.22,1228.45,1225.36,1225.86,7127
2018.10.16,8:00,1225.84,1230.08,1224.93,1228.7,20754
2018.10.16,12:00,1228.7,1232.3,1226.27,1230.08,20406
2018.10.16,16:00,1230.08,1232.32,1227.25,1228.27,25293
2018.10.16,20:00,1228.25,1228.95,1223.28,1224.66,12421
2018.10.17,0:00,1224.45,1225.75,1223.89,1225.09,10144
2018.10.17,4:00,1225.08,1225.17,1221.51,1221.93,26100
2018.10.17,8:00,1221.94,1228.02,1220.53,1227.11,48380
2018.10.17,12:00,1227.13,1227.86,1224.88,1227.01,38996
2018.10.17,16:00,1227.01,1229.41,1224.06,1224.45,53720
2018.10.17,20:00,1224.46,1225.09,1221.56,1221.56,32717
2018.10.18,0:00,1221.86,1223.5,1221.42,1222.35,15903
2018.10.18,4:00,1222.35,1224.07,1221.71,1223.45,25216
2018.10.18,8:00,1223.46,1223.71,1218.56,1223.16,47688
2018.10.18,12:00,1223.16,1226.23,1222.37,1223.37,42920
2018.10.18,16:00,1223.32,1230.06,1221,1227.71,64390
2018.10.18,20:00,1227.71,1227.91,1224.47,1225.56,31127
2018.10.19,0:00,1224.93,1226.32,1224.93,1225.31,11486
