Date,Time,Open,High,Low,Close,Volume
2017.07.26,16:00,1246.67,1249.44,1245.9,1248.04,38352
2017.07.26,20:00,1248.08,1263.48,1248.07,1260.29,40790
2017.07.27,0:00,1259.67,1262.81,1259.42,1261.45,14202
2017.07.27,4:00,1261.43,1264.85,1261.25,1263.16,23150
2017.07.27,8:00,1263.16,1264.28,1260.81,1262.28,27124
2017.07.27,12:00,1262.28,1265.26,1261.12,1263.36,30352
2017.07.27,16:00,1263.31,1263.78,1254.49,1259.05,47930
2017.07.27,20:00,1259.04,1262.46,1257.85,1258.85,37248
2017.07.28,0:00,1258.97,1260.85,1258.4,1259.88,10885
2017.07.28,4:00,1259.88,1260.19,1257.33,1257.76,14605
2017.07.28,8:00,1257.73,1260.43,1257.73,1259.1,25434
2017.07.28,12:00,1259.1,1267.15,1258.11,1263.55,27326
2017.07.28,16:00,1263.55,1270.35,1262.16,1268.63,51294
2017.07.28,20:00,1268.7,1270.81,1268.17,1269.27,20154
2017.07.31,0:00,1269.57,1271.03,1268.81,1269.34,12437
2017.07.31,4:00,1269.34,1269.54,1266.99,1268.21,15809
2017.07.31,8:00,1268.2,1269.29,1265.72,1266.94,21218
2017.07.31,12:00,1266.95,1269.23,1266.35,1267.69,20444
2017.07.31,16:00,1267.7,1269.77,1266.39,1267.8,37985
2017.07.31,20:00,1267.78,1270.24,1266.94,1269.13,19803
2017.08.01,0:00,1268.69,1269.87,1267,1268.66,11558
2017.08.01,4:00,1268.67,1270.71,1267.38,1270.07,18691
2017.08.01,8:00,1270.06,1270.62,1267.98,1268.6,20059
2017.08.01,12:00,1268.7,1268.7,1262.59,1267.38,27910
2017.08.01,16:00,1267.37,1274.07,1266.05,1272.72,46431
2017.08.01,20:00,1272.73,1273.85,1268.46,1268.57,19601
2017.08.02,0:00,1268.49,1271.03,1266.46,1267.77,12339
2017.08.02,4:00,1267.79,1268.5,1264.12,1265.14,17618
2017.08.02,8:00,1265.14,1267.69,1264.48,1266.58,20995
2017.08.02,12:00,1266.57,1268.45,1262.85,1264.61,24845
2017.08.02,16:00,1264.61,1272.28,1264.49,1272,40750
2017.08.02,20:00,1272,1272.76,1265.87,1266.33,21285
2017.08.03,0:00,1266.54,1266.88,1256.73,1261.94,14815
2017.08.03,4:00,1261.95,1264.22,1261.49,1262.36,17154
2017.08.03,8:00,1262.37,1263.22,1259.78,1261.99,20060
2017.08.03,12:00,1261.99,1268.39,1261.7,1266.45,30045
2017.08.03,16:00,1266.44,1269.67,1265.25,1267.88,43589
2017.08.03,20:00,1267.88,1270.78,1267.58,1268.18,20488
2017.08.04,0:00,1269.13,1270.11,1267.89,1268.94,14170
2017.08.04,4:00,1268.94,1269,1267.2,1268.03,15375
2017.08.04,8:00,1268.02,1270,1267.69,1269.04,18529
2017.08.04,12:00,1269.06,1269.83,1260.74,1261.84,27048
2017.08.04,16:00,1261.84,1263.13,1254.13,1257.27,45999
2017.08.04,20:00,1257.27,1259.19,1256.97,1258.45,17988
2017.08.07,0:00,1257.94,1259.06,1256.5,1257.7,11696
2017.08.07,4:00,1257.69,1258.98,1257.4,1258.03,13948
2017.08.07,8:00,1258.03,1258.56,1257.14,1258.03,18284
2017.08.07,12:00,1258.03,1258.43,1255.71,1256.49,22291
2017.08.07,16:00,1256.48,1259.86,1256.04,1258.94,27446
2017.08.07,20:00,1258.94,1259.84,1257.09,1257.52,12628
2017.08.08,0:00,1257.38,1258.96,1256.85,1258.19,7839
2017.08.08,4:00,1258.2,1260.92,1258.14,1260.05,14265
2017.08.08,8:00,1260.07,1261.24,1259.17,1260.65,16552
2017.08.08,12:00,1260.64,1265.17,1260.53,1262.2,23893
2017.08.08,16:00,1262.2,1263.41,1251.44,1256.1,46604
2017.08.08,20:00,1256.1,1262.63,1253.79,1260.77,27027
2017.08.09,0:00,1259.97,1267.14,1259.97,1265.98,15343
2017.08.09,4:00,1265.98,1266.5,1263.47,1264.57,20878
2017.08.09,8:00,1264.61,1269.11,1264.27,1268.24,29149
2017.08.09,12:00,1268.24,1276.1,1266.43,1274.81,33019
2017.08.09,16:00,1274.81,1275.11,1270.29,1272.78,50350
2017.08.09,20:00,1272.74,1278.64,1271.23,1276.97,27268
2017.08.10,0:00,1277.58,1278.12,1274.59,1275.61,11711
2017.08.10,4:00,1275.61,1277.37,1274.58,1276.84,17697
2017.08.10,8:00,1276.84,1280.5,1276.46,1278.23,25209
2017.08.10,12:00,1278.23,1284.72,1277.79,1284.53,29210
2017.08.10,16:00,1284.57,1287.75,1283.53,1284.23,56770
2017.08.10,20:00,1284.18,1286.72,1283.7,1285.97,28281
2017.08.11,0:00,1286.33,1288.48,1285.49,1287.95,10313
2017.08.11,4:00,1287.95,1288.88,1283.89,1285.9,19996
2017.08.11,8:00,1285.88,1288.87,1283.95,1288.06,25843
2017.08.11,12:00,1288.05,1292.05,1283.27,1286.02,32692
2017.08.11,16:00,1286.03,1288.27,1281.21,1286.93,49737
2017.08.11,20:00,1286.93,1291.67,1286.72,1289.03,24655
2017.08.14,0:00,1290.25,1290.25,1286.53,1286.75,13355
2017.08.14,4:00,1286.76,1289.45,1285.35,1286.49,19423
2017.08.14,8:00,1286.48,1287.43,1280.07,1281.3,26465
2017.08.14,12:00,1281.3,1284.16,1278.55,1281.51,25565
2017.08.14,16:00,1281.5,1285.55,1279.85,1284.97,38160
2017.08.14,20:00,1284.95,1285.48,1280.21,1281.83,23189
2017.08.15,0:00,1281.35,1281.9,1277.65,1278.27,14250
2017.08.15,4:00,1278.28,1278.37,1272.54,1274.84,19273
2017.08.15,8:00,1274.82,1276.12,1272.63,1274.65,24428
2017.08.15,12:00,1274.65,1275.33,1267.7,1268.13,27924
2017.08.15,16:00,1268.14,1274.06,1267.23,1273.72,41294
2017.08.15,20:00,1273.75,1275.05,1270.92,1271.22,19571
2017.08.16,0:00,1270.97,1273.26,1270.43,1271.84,10351
2017.08.16,4:00,1271.85,1273.95,1271.13,1273.22,13661
2017.08.16,8:00,1273.17,1273.41,1269.21,1270.36,24588
2017.08.16,12:00,1270.34,1273.02,1269.24,1269.49,23043
2017.08.16,16:00,1269.4,1274.97,1267.73,1274.6,43907
2017.08.16,20:00,1274.63,1283.77,1274.57,1282.93,42666
2017.08.17,0:00,1283.76,1285.58,1282.4,1285.2,12269
2017.08.17,4:00,1285.18,1289.31,1285.17,1287.32,25421
2017.08.17,8:00,1287.32,1290.12,1286.24,1287.03,29608
2017.08.17,12:00,1287.03,1287.41,1283.02,1284.39,39182
2017.08.17,16:00,1284.36,1289.58,1281.59,1286.87,66251
2017.08.17,20:00,1286.87,1289.24,1284.6,1287.69,35047
2017.08.18,0:00,1287.9,1289.25,1287.1,1287.8,15075
2017.08.18,4:00,1287.8,1288.47,1285.9,1287.92,18440
2017.08.18,8:00,1287.93,1295.41,1286.7,1295.19,34434
2017.08.18,12:00,1295.18,1297.9,1294.25,1296.48,36214
2017.08.18,16:00,1296.46,1300.82,1283.41,1286.24,80216
2017.08.18,20:00,1286.24,1289.49,1283.62,1283.62,34039
2017.08.21,0:00,1283.14,1285.49,1280.51,1283.11,14562
2017.08.21,4:00,1283.09,1286.48,1281.79,1285.72,18403
2017.08.21,8:00,1285.67,1289.12,1284.36,1287.82,27829
2017.08.21,12:00,1287.83,1289.15,1286.61,1288.12,26396
2017.08.21,16:00,1288.12,1293.8,1288.02,1291.4,56855
2017.08.21,20:00,1291.4,1293.12,1290.59,1291.66,25389
2017.08.22,0:00,1291.06,1292.5,1289.67,1289.99,11340
2017.08.22,4:00,1289.99,1290.21,1287.34,1288.63,17466
2017.08.22,8:00,1288.63,1288.66,1282.93,1284.94,26011
2017.08.22,12:00,1284.94,1286.87,1284.29,1286.52,28291
2017.08.22,16:00,1286.52,1290.92,1282.01,1286.25,48924
2017.08.22,20:00,1286.26,1286.38,1284.06,1284.83,20142
2017.08.23,0:00,1284.68,1285.02,1282.71,1284.36,12392
2017.08.23,4:00,1284.35,1286.7,1282.69,1285.48,18410
2017.08.23,8:00,1285.48,1287.22,1284.86,1286.12,26022
2017.08.23,12:00,1286.15,1291.3,1285.7,1289.12,29642
2017.08.23,16:00,1289.13,1290,1286.65,1287.5,50160
2017.08.23,20:00,1287.49,1290.65,1287.46,1290.53,21485
